REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.3.9.1.2.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.3.9.1.3.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.3.9.1.4.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.3.9.1.5.1,40,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.3.9.1.6.1,60,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.3.9.1.7.1,85,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.3.9.1.8.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.3.9.1.9.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.3.9.1.10.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.3.9.1.11.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.3.9.1.12.1,120,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.3.9.1.13.1,90,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.3.9.1.14.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.3.9.1.15.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.3.9.1.16.1,75,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.3.9.1.17.1,515,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.3.9.1.18.1,160,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.3.9.1.19.1,85,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.3.9.1.20.1,265,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.3.9.1.21.1,67000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.4.7.1.1.1,3925,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.4.7.1.2.1,20,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.4.7.1.3.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.4.7.1.4.1,15,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.4.7.1.5.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.4.7.1.6.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.4.7.1.7.1,60,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.4.7.1.8.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.4.7.1.9.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.4.7.1.10.1,115,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.4.7.1.11.1,100,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.4.7.1.12.1,280,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.4.7.1.13.1,345,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.4.7.1.14.1,260,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.4.7.1.15.1,300,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.4.7.1.16.1,230,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.4.7.1.17.1,1950,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.4.7.1.18.1,495,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.4.7.1.19.1,420,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.4.7.1.20.1,1035,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.4.7.1.21.1,100000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.4.8.1.1.1,285,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.4.8.1.12.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.4.8.1.13.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.4.8.1.14.1,5,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,174.1.4.8.1.15.1,15,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,174.1.4.8.1.16.1,25,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,174.1.4.8.1.17.1,215,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,174.1.4.8.1.18.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,174.1.4.8.1.19.1,35,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,174.1.4.8.1.20.1,145,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,174.1.4.8.1.21.1,154000,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,174.1.4.9.1.1.1,3645,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,174.1.4.9.1.2.1,20,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,174.1.4.9.1.3.1,10,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,174.1.4.9.1.4.1,15,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,174.1.4.9.1.5.1,30,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,174.1.4.9.1.6.1,50,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,174.1.4.9.1.7.1,60,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,174.1.4.9.1.8.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,174.1.4.9.1.9.1,80,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,174.1.4.9.1.10.1,115,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,174.1.4.9.1.11.1,105,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,174.1.4.9.1.12.1,265,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,174.1.4.9.1.13.1,335,,,,0
2021,Nunavut,2021A000262,Total - Census family structure,4 or more persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,174.1.4.9.1.14.1,250,,,,0
